timestamp,coreZipBytes,chatZipBytes,chatFilesCopied,skipBcpIde,forceFullChat
2026-04-16_1244,162139656,675683680,117,False,False
2026-04-16_1402,162167547,675711824,118,False,False
2026-04-16_1708,162265235,675738663,118,False,False
2026-04-17_1708,162269176,675762629,118,False,False
2026-04-18_1708,165538805,677606886,119,False,False
2026-04-19_1708,174471621,680564358,122,False,False
2026-04-19_2004,179688324,684224877,123,False,False
2026-04-19_2035,179689358,684320785,124,False,False
2026-04-19_2153,179694023,685711302,124,False,False
